Name,Phone,Address,Website,Category,Keyword,Location,TimeZone,IdStatus
Laurel Realty and Investment,4156896707,"294 29th StreetSan Francisco, CA 94131",http://www.laurelrealtysanfranciscoca.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Ty Wallace Real Estate Broker,9514656095,"1241 South Grand Avenue Ste BDiamond Bar, CA 91765",https://tywallace.com/,"Real Estate Agents, Real Estate Investing",Real Estate,CA,PST,Lead
Windermere Diablo Realty,9259544489,"1301 Ygnacio Valley Rd Ste 100Walnut Creek, CA 94598",http://www.windermerediablorealty.com/,Real Estate Agents,Real Estate,CA,PST,Lead
Santa Cruz Property Management,8314626424,"1240 41st AveCapitola, CA 95010",https://santacruzproperty.com/,"Real Estate Agents, Real Estate Rental Service",Real Estate,CA,PST,Lead
Scotts Valley Property Management,8312813427,"4615 Scotts Valley Dr, Ste BScotts Valley, CA 95066",http://scottsvalleyproperty.com/,"Real Estate Agents, Real Estate Rental Service",Real Estate,CA,PST,Lead
Carmichael Jim-Century 21 Real Estate,6197139333,"1133 Avocado AveEl Cajon, CA 92020",https://www.century21.com/,"Real Estate Agents, Investment Advisory Service",Real Estate,CA,PST,Lead
Preferred Real Estate Management Inc.,6572103618,"2101 E 4th St Ste 180Santa Ana, CA 92705",,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Malignaggi Appraisals,5309344697,"2485 Notre Dame BlvdChico, CA 95928",,"Real Estate Agents, Real Estate Loans",Real Estate,CA,PST,Lead
Stromer Realty Company Of California,5307770671,"591 Colusa AveYuba City, CA 95991",http://www.stromerrealty.com/,"Real Estate Agents, Farming Service",Real Estate,CA,PST,Lead
All American Self Storage,5308918200,"2300 Dr Martin Luther King Junior PkwyChico, CA 95928",http://www.aastoragechico.com/,"Real Estate Agents, Self Storage",Real Estate,CA,PST,Lead
Sobrante Hills Realty,5104801041,Serving theCA Area,https://www.shr1.co/,"Real Estate Agents, Real Estate Loans",Real Estate,CA,PST,Lead
Stephen B Marvin Real Estate Inc,6619527593,"43700 17th St WLancaster, CA 93534",http://www.sbmarvinrealestate.com/,"Real Estate Agents, Condominium Management",Real Estate,CA,PST,Lead
Main Street Realty,9516511007,"2357 S San Jacinto AveSan Jacinto, CA 92583",http://www.mainstreetrealtyonline.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Farrell Smyth Inc,8052500081,"21 Santa Rosa St, Ste 250San Luis Obispo, CA 93405",http://farrellsmyth.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Rowland Realty Property Management,6192733239,"4725 Voltaire StSan Diego, CA 92107",http://www.rowlandrealty.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
College Town Commons,5307572755,"382 Boston TerraceDavis, CA 95618",http://collegetownrealty.net/prod01.htm,"Real Estate Agents, Apartments",Real Estate,CA,PST,Lead
The Management Consultants,3108783153,"952 Manhattan Beach Blvd Ste 250Manhattan Beach, CA 90266",https://www.tmcproperty.com/,"Real Estate Agents, Condominium Management",Real Estate,CA,PST,Lead
Bishop Veterinary Hospital At Mammoth,7609342287,"437 Old Mammoth RdMammoth Lakes, CA 93546",https://bishopveterinaryhospital.com/,"Real Estate Agents, Animal Health Products",Real Estate,CA,PST,Lead
Sani-Hut Company,5304949586,Serving theCA Area,http://sanihut.com/,"Building Contractors, Construction & Building Equipment",Real Estate,CA,PST,Lead
Houk & Hornburg Attorney At Law,5597331065,"206 S Mooney BlvdVisalia, CA 93291",http://houkhornburg.com/,"Business Law Attorneys, Divorce Attorneys",Real Estate,CA,PST,Lead
Charlie Dunn & Sons Chimney Service,9254452136,"2496 Tapestry CourtLivermore, CA 94550",http://www.cdchimney.com/,"Cleaning Contractors, Air Conditioning Service & Repair",Real Estate,CA,PST,Lead
Sani-Hut Company,7753586720,Serving theCA Area,http://www.sanihut.com/,"Building Contractors, Sanitation Consultants",Real Estate,CA,PST,Lead
Association Management Group,7609314180,"2131 Las Palmas DrCarlsbad, CA 92011",https://associationmanagementgroup.net/,"Real Estate Appraisers, Real Estate Consultants",Real Estate,CA,PST,Lead
McLaughlin & Co,9163719021,"1401 Shore StWest Sacramento, CA 95691",http://www.macco.org/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Sheffield Real Estate,5306665485,"20 N East StWoodland, CA 95776",http://www.sheffield-realestate.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
BMG Financial Services,9257547110,"5077 Lone Tree WayAntioch, CA 94531",http://www.bmgfinancialservice.com/contact,"Real Estate Agents, Bookkeeping",Real Estate,CA,PST,Lead
Mother Lode Realty,5303463017,"25665 State Highway 174Colfax, CA 95713",http://www.amysibley.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
West & Praszker Realtors,4156615300,"1812 Noriega StSan Francisco, CA 94122",http://www.wprealtors.com/,Real Estate Agents,Real Estate,CA,PST,Lead
Sepulveda Escrow Corporation,8188381831,"10550 Sepulveda Boulevard, # 105Los Angeles, CA 91345",http://www.sepulvedaescrow.net/,"Real Estate Agents, Notaries Public",Real Estate,CA,PST,Lead
DRV Modular Contractors Inc. Set-Up & Tear Down & Transport,6196709818,Serving theCA Area,http://drvmodular.com/,"Transport Trailers, Mobile Offices & Commercial Units",Real Estate,CA,PST,Lead
Just Like Home,5597814378,"365 N Pearson Dr, Ste 1Porterville, CA 93257",http://www.jlh-care.com/,"Real Estate Agents, Home Health Services",Real Estate,CA,PST,Lead
Archer Real Estate,6613475614,"17812 Sierra Hwy Ste JCanyon Country, CA 91351",,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Alfie Holdings,4156493600,"505 Montgomery StSan Francisco, CA 94111",https://www.wejustbuyit.com/,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
BSR Realty Inc,3412081182,"22320 Foothill Blvd Ste 100Hayward, CA 94541",https://www.bsrrealtyinc.com/,"Real Estate Agents, Real Estate Appraisers",Real Estate,CA,PST,Lead
Lapham Company Inc,5104738098,"4844 Telegraph AveOakland, CA 94609",https://www.laphamcompany.com/contact,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
A B Tax Service - John Bazaldua EA,8052881298,"162 E Channel Islands BlvdOxnard, CA 93033",http://www.abtaxandrealestate.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Thomas Ortiz Salon,7473073241,"471 Burchett StGlendale, CA 91203",http://www.hair4men.com/,"Real Estate Agents, Beauty Salons",Real Estate,CA,PST,Lead
Exit Imperial Realty,7604604243,"512 BroadwayEl Centro, CA 92243",https://imperialexitrealty.com/,"Real Estate Agents, Real Estate Referral & Information Service",Real Estate,CA,PST,Lead
Century 21 Hilltop,5302217112,"2040 Hilltop DrRedding, CA 96002",http://www.century21redding.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
West Lake Properties at Tahoe,5304125429,"705 N Lake BlvdTahoe City, CA 96145",https://www.westlakeproperties.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Gordon Kenny Realty,6504168331,"100 Arroyo DrSouth San Francisco, CA 94080",http://www.kennyrealty.com/,Real Estate Agents,Real Estate,CA,PST,Lead
PF Property Management Plus Inc,4084793713,"5985 Almaden ExpySan Jose, CA 95120",http://www.siliconvalleyrents.com/,"Real Estate Agents, Real Estate Rental Service",Real Estate,CA,PST,Lead
RE/MAX Parkside Real Estate,8052572530,"711 12th StPaso Robles, CA 93446",https://parksiderealtors.com/,"Real Estate Agents, Real Estate Referral & Information Service",Real Estate,CA,PST,Lead
Schaffer & Company Realtors,2092242441,"122 N Church StLodi, CA 95240",https://realestateinlodi.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Calistoga Realty Inc.,7074031039,"1473C Lincoln AveCalistoga, CA 94515",http://calistoga-realty.com/,Real Estate Agents,Real Estate,CA,PST,Lead
Amber Realty & Property Management,4088690284,"1777 Hamilton AvenueSan Jose, CA 95125",http://www.amberrealty.com/,"Real Estate Agents, Condominiums",Real Estate,CA,PST,Lead
SLO CO Staging,8055059176,"9320 Yerba Buena AvenueSanta Margarita, CA 93453",https://www.slocostaging.com/,"Real Estate Agents, Home Staging",Real Estate,CA,PST,Lead
Paul Cain Realtor,4424070628,"Cathedral City, CA 92234",https://atyourservicelimited.com/#home,"Real Estate Agents, Paralegals",Real Estate,CA,PST,Lead
411 Directories Inc,6613628210,"27240 Turnberry LnValencia, CA 91355",,"Real Estate Agents, Real Estate Rental Service",Real Estate,CA,PST,Lead
PIVOT Real Estate & Mortgage Services,6198120141,"17190 Bernardo Center Drive, Ste 200San Diego, CA 92128",https://www.rhealyncorrigan.com/,"Real Estate Agents, Mortgages",Real Estate,CA,PST,Lead
Adele Lucas,5305456321,"989 Tahoe Keys BlvdSouth Lake Tahoe, CA 96150",https://www.homesnap.com/Adele-Lucas/gmb,Real Estate Agents,Real Estate,CA,PST,Lead
Continental Development,8337355551,"2041 Rosecrans AveEl Segundo, CA 90245",http://www.continentaldevelopment.com/,"Real Estate Developers, Commercial Real Estate",Real Estate,CA,PST,Lead
O'Brien Building Inspections Inc.,8058187707,"7295 San Gabriel RdAtascadero, CA 93422",http://brienbuildinginspections.com/,"Inspection Service, Commercial Real Estate",Real Estate,CA,PST,Lead
Cole Realty & Mortgage,7605988686,"240 S Rancho Santa Fe Rd Ste 109San Marcos, CA 92078",https://www.colerealtyandmortgage.com/,"Real Estate Agents, Modular Homes, Buildings & Offices",Real Estate,CA,PST,Lead
Help U Sell Horizon Line Realty,5305424242,"1023 Ski Run Blvd Suite ASouth Lake Tahoe, CA 96150",,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
New Concept Realty,6612831555,"1400 Easton DrBakersfield, CA 93309",http://www.ncrfirm.com/,"Real Estate Agents, Loans",Real Estate,CA,PST,Lead
Mendo Realty - Fort Bragg,7079643610,"703 N Main StFort Bragg, CA 95437",http://www.mendorealty.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Tavares Realty & Associates,5106510600,"43385 Ellsworth St.Fremont, CA 94539",http://www.tavaresappraisals.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Generation 3 Mortgage,8589258487,"1049 Camino Del Mar Ste 6bDel Mar, CA 92014",,"Real Estate Agents, Loans",Real Estate,CA,PST,Lead
Dennison Co,6194262800,"256 3rd AveChula Vista, CA 91910",,"Real Estate Agents, Draperies, Curtains & Window Treatments",Real Estate,CA,PST,Lead
North Court Storage,5303953727,"1075 N Court StRedding, CA 96001",https://www.northcourt.net/,"Real Estate Agents, Self Storage",Real Estate,CA,PST,Lead
Foundation Properties Inc,6615656358,"4208 Rosedale Hwy # 302-120Bakersfield, CA 93308",http://foundationpropertiesinc.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
New Beginnings Financial & Real Estate,6613272800,"1731 16th St Ste BBakersfield, CA 93301",https://newbeginningsfinancial.net/,"Real Estate Agents, Loans",Real Estate,CA,PST,Lead
Bennett Realtors,2093341717,"709 W Kettleman LnLodi, CA 95240",http://www.bennettrealtors.com/,Real Estate Agents,Real Estate,CA,PST,Lead
Wellington Development,8314756200,"830 Bay AveCapitola, CA 95010",http://wellingtonrealtors.homesandland.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Rex Smith Real Estate,8589258487,"1049 Camino Del Mar Ste 6bDel Mar, CA 92014",,Real Estate Agents,Real Estate,CA,PST,Lead
Bay Sierra Financial Inc,7075445696,"1410 Neotomas AveSanta Rosa, CA 95405",,"Real Estate Loans, Investments",Real Estate,CA,PST,Lead
Freitas & Associates Real Estate Agency,8052380947,"213 Meadowlark RdPaso Robles, CA 93446",http://freitasrealestate.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Weiss Real Estate,9498377379,Serving theCA Area,,"Real Estate Agents, Notaries Public",Real Estate,CA,PST,Lead
James G. Palmer Appraisals,5592265020,"1285 W Shaw AveFresno, CA 93711",https://jgpinc.com/,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
Russel Realty,7603531799,"505 W Aten RdImperial, CA 92251",http://www.russellrealty.com/,"Real Estate Agents, Real Estate Appraisers",Real Estate,CA,PST,Lead
Delta Realty Group Inc,7074253263,"1299 Oliver RdFairfield, CA 94534",http://www.deltarealtygpinc.com/,"Real Estate Agents, Real Estate Schools",Real Estate,CA,PST,Lead
Backus Properties,8314552052,"19000 Portola DrSalinas, CA 93908",http://www.backuspm.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Schuepbach Real Estate Services,8056420809,Serving theCA Area,http://www.therealtypros.com/,"Real Estate Agents, Real Estate Developers",Real Estate,CA,PST,Lead
Coldwell Banker,5302235239,"Redding, CA 96002",http://www.rentalsinredding.com/,"Real Estate Agents, Real Estate Investing",Real Estate,CA,PST,Lead
Coldwell Banker,8316262222,"126 Clock Tower Pl Ste 100Carmel, CA 93923",https://www.coldwellbankerhomes.com/ca/carmel/office/carmel-rancho/oid_5186,"Real Estate Agents, Loans",Real Estate,CA,PST,Lead
The Vollman Company,9169292000,"1900 Point West Way Ste 161Sacramento, CA 95815",http://www.thevollmancompany.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Coldwell Banker,9497951606,"840 Newport Center Dr.Newport Beach, CA 92660",http://occoastrealtor.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Real Property Management Humboldt,7075157200,"710 E St Ste 205Eureka, CA 95501",http://www.ppmrental.com/,"Real Estate Agents, Apartments",Real Estate,CA,PST,Lead
Precision Properties,8189959160,"16133 Ventura Blvd Ste 700Encino, CA 91436",http://www.precisionproperties.com/,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
Carolan Properties,9162531833,"945 Orchard Creek Ln Ste 300Lincoln, CA 95648",http://www.carolanproperties.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Claremont Properties,4083549600,"225 N Santa Cruz AveLos Gatos, CA 95030",http://www.claremontproperties.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"251 N Larchmont BlvdLos Angeles, CA 90004",https://www.coldwellbanker.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Good House Realty,3102171977,"460 E Carson Plaza DrCarson, CA 90746",http://www.houseofrealty.net/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Julia Ling-RE/MAX Alliance,8552034389,"5059 Geary BlvdSan Francisco, CA 94118",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Remax,9517394000,"765 N Main StCorona, CA 92880",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
LA Real Estate Services,8182906324,"Glendale, CA 91203",https://larealtorteam.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Coldwell Banker,3109272777,"301 N Canon DrBeverly Hills, CA 90210",http://www.coldwellbanker.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Re/Max,8552034389,"535 E 1st StTustin, CA 92780",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Remax,7075243500,"320 College AveSanta Rosa, CA 95401",http://www.centralsantarosa2.california.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"5353 E 2nd St Ste 205Long Beach, CA 90803",http://www.coldwellbanker.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
RE/MAX Foothill Properties,2092963500,"19538 State Highway 88Pine Grove, CA 95665",https://www.remaxfoothillproperties.com/,"Real Estate Agents, Property Maintenance",Real Estate,CA,PST,Lead
Re/Max,9099490605,"1060 N 13th AveUpland, CA 91786",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"Woodside, CA 94062",,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Remax Woodland,5306617777,"927 Main StWoodland, CA 95695",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Downstream Exchange Co,6267961031,"909 E Green StPasadena, CA 91106",http://downstreamexchange.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Team Thompson Property Management,5628568326,"852 Redondo AveLong Beach, CA 90804",http://www.teamthompsonmanagement.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Coldwell Banker,7607726400,"78000 Fred Waring DrPalm Desert, CA 92211",http://cbclyle.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Big Valley Properties,5306235690,"1313 Main StWeaverville, CA 96093",http://bvptrinity.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Charlie Lum Realty Service,4153871420,"4130 Geary BlvdSan Francisco, CA 94118",,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
Angelus Senior Housing,6262886792,"2417 Angelus AveRosemead, CA 91770",,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Goodwin & Thyne Properties,8058991100,"2000 State StSanta Barbara, CA 93105",http://gtprop.com/,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
RE/MAX Olson & Associates,8552034389,"3835 E Thousand Oaks BlvdWestlake Village, CA 91362",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Security Real Estate Co,3237216765,"3314 W Beverly BlvdMontebello, CA 90640",http://www.securityrealestate.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Coldwell Banker,8889914657,"162 S Rancho Santa Fe Rd Ste A30Encinitas, CA 92024",,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Ascent Real Estate,8884076374,"2900 N Park WaySan Diego, CA 92104",http://www.ascentrealestate.net/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Remax,8552034389,"798 Tucker Rd Ste 1Tehachapi, CA 93561",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Coldwell Banker,8552034389,"9332 Fuerte DrLa Mesa, CA 91941",https://tiffanihume.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Troop Real Estate,8059210030,"586 W Main StSanta Paula, CA 93060",http://www.troop.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Central Valley Properties,2098365891,"1045 S Tracy BlvdTracy, CA 95376",http://www.pfwd.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"10095 Dorchester DrTruckee, CA 96161",http://www.coldwellbanker.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Re/Max,9256716945,"1731 Fisher DrConcord, CA 94520",,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
REALTY GOLD,3234633000,"1617 N. El Centro Ave. #1Los Angeles, CA 90028",,"Real Estate Agents, Real Estate Investing",Real Estate,CA,PST,Lead
Altas Realty,4083718288,"1190 S Bascom Ave Ste 118San Jose, CA 95128",http://www.aracz.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Remax,8552034389,"9455 Las Tunas DrTemple City, CA 91780",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Re/Max,8889886851,"1098 Foster City Blvd Ste 205Foster City, CA 94404",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Remax Preferred Property,9257578080,"2830 Lone Tree WayAntioch, CA 94509",http://www.markcynthia.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"960 E Las Tunas Dr Ste ASan Gabriel, CA 91776",http://www.coldwellbanker.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Troop Real Estate of Oxnard,8059799470,"2401 E Gonzales Rd Ste 150Oxnard, CA 93036",http://www.troop.com/,"Real Estate Agents, Real Estate Rental Service",Real Estate,CA,PST,Lead
Riviera Property Management,8884076374,"910 Grand Ave Ste 105San Diego, CA 92109",http://www.rivierasandiego.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Coldwell Banker,6617655274,"503 6th StTaft, CA 93268",,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"3170 Collins DrMerced, CA 95348",,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"1575 Bayshore HwyBurlingame, CA 94010",http://www.cbcburlingame.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Re/Max,8889886851,"4030 Palos Verdes Dr NRolling Hills Estates, CA 90274",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"28120 Bradley RdSun City, CA 92586",http://www.homesearchonthenet.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Ikebe Ron Buyer Of US Rare Coins,6509881563,"278 Hope StMountain View, CA 94041",,"Real Estate Agents, Coin Dealers & Supplies",Real Estate,CA,PST,Lead
London Properties,5598974888,"939 Sierra StKingsburg, CA 93631",http://www.londonproperties.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Coldwell Banker John Bukowski,8884076374,Serving theCA Area,http://www.coldwellbanker.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Adobe Oaks Realty,6509401785,"1511 Fallen Leaf LnLos Altos, CA 94024",,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
Remax,9166019190,"5252 Sunrise BlvdFair Oaks, CA 95628",https://www.remax.com/real-estate-offices/remax-gold-fair-oaks-ca/100422576,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Remax,8889886851,"2920 Woodside Rd Ste AWoodside, CA 94062",http://www.remax.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Marcus & Millichap,5103791200,"555 12th StOakland, CA 94607",http://marcusmillichap.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"165 1st StPetaluma, CA 94952",https://www.coldwellbanker.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Multitech Properties Inc,8772121294,"5820 Miramar Rd Ste 200San Diego, CA 92121",,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
A & L Property Management,5306767004,"3420 Coach Ln Ste 12Cameron Park, CA 95682",http://www.alpropmgmt.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"36 Tiburon BlvdMill Valley, CA 94941",http://farnoosh.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
River City Realty,5305292700,"314 Washington StRed Bluff, CA 96080",http://www.tehamacountyrealestate.com/,"Real Estate Agents, Real Estate Management",Real Estate,CA,PST,Lead
Re/Max,8884076374,"330 Rancheros DrSan Marcos, CA 92069",http://www.remax.com/,"Real Estate Agents, Real Estate Consultants",Real Estate,CA,PST,Lead
Ind/Comm Real Estate,5106565324,"45277 Fremont Blvd Ste 4Fremont, CA 94538",,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
Remax,8889914657,"2505 Canada BlvdGlendale, CA 91208",http://remax-elite.com.jm/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
Coldwell Banker,8884076374,"444 S Main StSalinas, CA 93901",http://www.coldwellbanker.com/,"Real Estate Agents, Real Estate Buyer Brokers",Real Estate,CA,PST,Lead
So Cal Realty,6572554745,"14730 Beach BlvdLa Mirada, CA 90638",,"Real Estate Agents, Commercial Real Estate",Real Estate,CA,PST,Lead
